MAPT-IT1,
MAPT,
LINC01238,
CDK7,
LINC02688,
LINC01880,
MARK2P14,
NUP210P2,
CUBNP2,
MARCHF8,
CDKN1C,
OR6D1P,
ANKRD30BP3,
HLA-DRA,
OR13A1,
CARS1-AS1,
COX6CP18,
ALOX5,
SLC22A18,
LILRB3,
LINC00588,
LINC01606,
SLC22A18AS,
GAL3ST2,
KCNQ1DN,
NEU4,
RPL13AP,
MRPS16P3,
SNORA54,
APOL5,
PPP1R11,
MROH5,
PLEKHM1,
RBFOX2,
LINC01300,
HNRNPA1P38,
PTP4A3,
RNU6-1207P,
TNXB,
TRIM15,
RPS17P1,
GPR20,
MICD,
ARHGAP27,
OR2G1P,
WASF5P,
GPI,
PTMAP1,
HLA-V,
TMC4,
LY6G6F,
KRT18P53,
RPP21,
PPP2R3B,
PSORS1C1,
HLA-T,
LINC00685,
LINC01237,
FABP5P13,
FAM240C,
ERMARD,
RTP5,
HSPA1L,
PDCD1,
RPL7P4,
PRRT1,
RPL7AP7,
LTB,
IFITM4P,
LINC01556,
MCCD1,
TMPOP1,
FLOT1,
PSMB9,
OR2AD1P,
KANSL1,
UBQLN1P1,
UQCRHP1,
OR10C1,
HLA-DQB2,
TC2N,
PPP1R18,
NEU1,
TAF4,
KANSL1-AS1,
CDH4,
LRRC37A,
MAS1LP1,
HCG4,
SUMO2P1,
MDC1-AS1,
ZNRD1ASP,
LINC02825,
PPIAP9,
SAPCD1,
GAPDHP26,
SPACA7,
LINC00242,
TAP1,
LINC00574,
LRRC37A3,
BAAT,
APOM,
DYNLT2,
SPPL2C,
RPS7P11,
CES1P1,
CATSPERB,
LINC02210,
TUBGCP3,
CES5A,
FYTTD1P1,
TRMT112P4,
PLPPR1,
,Ighv3-1
,Ighv3-4
,Ighv3-8
,Ighv12-3
,Ighv3-6
,Ighv3-5
,Ighv3-3
LINC01070,
LINC01043,
LINC01044,
CEP170,
C4B_2,
MAPK8IP1P2,
NSFP1,
WNT3,
ARMC10,
DND1P1,
CHCHD2P2,
UBD,
,Slc6a8
GTF2H2C_2,
MAPT-AS1,
ARL17B,
RPL23AP95,
DPY19L2P2,
POLR3GP1,
NANOGP7,
BTNL2,
VARS1,
NSF,
NAPEPLD,
CLN8,
PRB3,
CLN8-AS1,
TAS2R42,
CES1,
CRYZP1,
MAPK8IP1P1,
HNRNPA1P2,
RDM1P2,
STK19,
STH,
5S_rRNA,
AKT3,
CRHR1,
RN7SKP117,
WNT9B,
SAPCD1-AS1,
UBDP1,
HLA-DPB2,
SLC5A8,
RNF5,
PRB4,
LINC02210-CRHR1,
ANO4,
LRRC37A4P,
PRH1,
LSM2,
HLA-DQB1-AS1,
RPS27P14,
TRIM39,
MARVELD2,
LY6L,
LY6H,
ADAM2,
OR2H1,
HSPA1A,
LINC02904,
EGFL8,
LINC01347,
SDCCAG8,
RXRB,
LY6E,
BDH1,
TUBB,
LILRB1-AS1,
MTCO2P32,
CLIC1,
LPCAT1,
RNU6-747P,
TSBP1,
MICC,
HLA-DMB,
CLPTM1L,
LY6E-DT,
ADAM9,
AK3P2,
OCLN,
OR12D3,
GSDMD,
GNL1,
LINC01149,
MCCD1P2,
LYPLA2P1,
HLA-DPA2,
TRIM40,
ADAM32,
ATAT1,
MRPS18B,
PSMB8,
CCDC125,
LINC01511,
TRARG1,
SLC6A3,
HLA-W,
HCG4B,
YWHAE,
HCG27,
ZC3H3,
OR12D1,
PYCR3,
NRM,
HCG18,
APBA1,
AZU1,
MAS1L,
PRTN3,
MSH5,
NAIPP4,
PLPPR3,
ETF1P1,
HLA-P,
OR2U1P,
HMGN1P12,
EEF1D,
ABHD16A,
DDR1-DT,
CFL1P5,
MED16,
ADAM18,
AK6,
BRD2,
LINC00533,
MICA,
ELANE,
CFD,
RPSAP2,
MDC1,
PPP1R10,
LINC02536,
RPL3P10,
PTPRK-AS1,
MRPS17P5,
CCL4L2,
PTPRK,
HLA-DRB4,
MRPS36,
TRIM26,
LTA,
HLA-DPB1,
CCL3-AS1,
TBC1D3I,
CDH12P4,
POLR1H,
C2,
LY6G5C,
RPL15P4,
HLA-DMA,
PPT2,
CCL3L1,
TBC1D3B,
OR2P1P,
HLA-F-AS1,
CCL18,
MCCD1P1,
GPSM3,
TCF19,
RPS26P8,
OR2I1P,
HCG21,
PPP1R2P1,
PSORS1C3,
HLA-N,
ZBED9,
OR12D2,
KRT18P1,
TRIM31,
EHMT2,
LY6G6E,
LY6G6F-LY6G6D,
TNXA,
B3GALT4,
MTCO3P1,
CCL3,
HLA-DQB3,
IGHA2,
SNHG32,
IGHD4-17,
DDX6P1,
IGHEP1,
IGHG3,
IGHJ5,
DUX4L9,
MAP3K14,
ATP6V1G1P1,
TUBB7P,
IGHD1-26,
IGHD7-27,
FRG2,
CUTA,
IGHV3-11,
IGHD3-3,
IGHD3-22,
IGHD6-19,
CCL4,
IGHJ1,
IGHJ2,
IGHV3-20,
IGHE,
RN7SL301P,
IGHV1-24,
IGHJ3P,
FRG1,
FAM30A,
ELK2BP,
IGHA1,
IGHD1-14,
IGHV1-3,
IGHVIII-38-1,
IGHV7-34-1,
IGHV4-34,
IGHGP,
PSORS1C2,
IGHM,
LINC00308,
HCP5,
IGHV4-39,
RNU4-45P,
IGHG1,
IGHV3-33,
IGHD6-25,
IGHD2-8,
IGHVIII-47-1,
IGHV3-21,
IGHV1-17,
IGHD6-6,
IGHD,
VWA7,
IGHV1-12,
IGHD2-21,
IGHD5-12,
SLC20A1P2,
IGHJ6,
MAPK15,
LENG8-AS1,
IGHV1-45,
IGHV3-50,
IGHV4-28,
IGHV3-53,
IGHD4-23,
IGHG4,
NEK4P1,
IGHJ2P,
IGHV1-68,
IGHVIII-22-2,
IGHVII-40-1,
IGHV3-54,
IGHJ3,
IGHV3-16,
IGHJ4,
IGHJ1P,
IGHV7-56,
IGHV3-13,
IGHV1-18,
HLA-U,
IGHVIII-25-1,
IGHD3-9,
IGHVIII-2-1,
IGHVII-74-1,
DDR1,
IGHVII-15-1,
FAM83H,
IGHVII-44-2,
IGHV3-19,
ADAM6,
COL11A2P1,
IGHD1-20,
DDAH2,
IGHVIII-11-1,
IGHVIII-5-1,
IGHVIII-13-1,
LINC02878,
IGHV1-2,
IGHVIII-67-3,
IGHV3-30-2,
HOMER2P2,
GFUS,
IGHD5-24,
IGHD2-15,
IGHV3-64,
IGHV3-65,
IGHV3-35,
IGHVII-22-1,
ELK2AP,
LINC02569,
IGHV3-15,
OR2J4P,
IGHV5-51,
IGHVII-46-1,
THEMIS,
IGHV3-42,
IGHV3-6,
IGHV3-7,
IGHV2-26,
IGHV4-55,
CYB5AP3,
IGHD5-5,
IGHD4-4,
IGHD3-10,
IGHVII-67-1,
SERPINA1,
IGHV7-27,
IGHV3-41,
IGHVII-62-1,
IGHVIII-5-2,
IGHV4-59,
RPL3P2,
IGHV3-33-2,
IGHV2-70,
IGHVIII-76-1,
IGHV3-43,
IGHV3-66,
IGHD3-16,
IGHVII-53-1,
IGHV3-22,
IGHV3-72,
HLA-DPA3,
IGHV3-48,
IGHV7-40,
IGHV3-69-1,
SLC44A4,
IGHV1-69D,
IGHV3-29,
IGHV3-36,
IGHV1-58,
IGHV2-5,
IGHV3-47,
IGHVIII-44,
IGHV8-51-1,
IGHV3-57,
IGHV3-63,
IGHVIII-26-1,
IGHVII-30-1,
IGHD1-1,
CCL23,
IGHV6-1,
PUF60,
IGHV3-60,
IGHV3-38,
DDX39B-AS1,
RING1,
IGHV3-73,
IGHV4-61,
IGHD5-18,
HLA-A,
IGHVII-51-2,
IGHD6-13,
IGHV3-74,
IGHV3-25,
IGHVII-65-1,
IGHV3-75,
IGHV2-70D,
IGHD1-7,
IGHVII-33-1,
IGHV3-37,
IGHVII-26-2,
IGHV3-62,
ATP5MC1P1,
TBC1D3G,
IGHV1-67,
IGHVII-1-1,
IGHD2-2,
HOMER2P1,
IGHVIV-44-1,
IGHD4-11,
PRIMA1,
IGHV1-69-2,
IGHV3-30,
IGHVIII-67-4,
IGHV4-4,
IGHG2,
AGER,
IGHV3-71,
IGHV1-69,
IFI27,
IGHV3-52,
LY6G6C,
IGHV3-49,
COPDA1,
HLA-B,
IGHV3-76,
IGHVII-49-1,
IGHV1-46,
SLC20A1P1,
IGHVII-60-1,
IGHV5-78,
IGHV3-23,
IGHVIII-67-2,
LY6G5B,
IGHV1-14,
SUCLA2P1,
HLA-DRB1,
HLA-DPA1,
CCL16,
PFDN6,
DDX52,
PPP4R4,
BAG6,
MOAP1,
TMEM251,
SERPINA6,
TBC1D3K,
FAM181A-AS1,
BTBD7,
ZDHHC20P1,
IER3,
NAPRT,
RPL12P1,
RPL23AP1,
RPS18,
GTF2H4,
HMGB1P24,
LHX1-DT,
CYP21A1P,
LYZL6,
LINC02829,
AIF1,
HLA-Z,
IFI27L1,
MRPL45,
CCDC166,
TBC1D3L,
ZNF707,
UNC79,
HLA-DOA,
DHFRP2,
ACACA,
HLA-DRB7,
HLA-L,
TIGD5,
ZNF623,
CFB,
MROH6,
LINC02287,
CCDC197,
SERPINA10,
NOTCH4,
SCRIB,
C6orf47-AS1,
TAP2,
UBR7,
LINC02570,
PAIP1P1,
NFKBIL1,
HLA-F,
LINC02833,
SERPINA2,
ITPK1-AS1,
ASB2,
ABCF1,
C6orf15,
ITPK1,
FKBPL,
RN7SKP175,
ZNF70P1,
HLA-J,
MPIG6B,
OTUB2,
FAM181A,
CSNK2B,
NPIPA5,
COX8C,
NOMO1,
IFI27L2,
CHGA,
HLA-DRB2,
DDX24,
SLC39A7,
PSMB8-AS1,
,Olfr734
,Olfr732
,Olfr733
RRN3,
PRR3,
GON7,
RNU6-1258P,
HLA-DQA1,
SAR1AP1,
SLC16A1,
PARN,
HCG25,
GPANK1,
LINC02783,
PADI1,
AKR7A2P1,
LRIG2-DT,
HLA-E,
HLA-DQA2,
MYO19,
CCHCR1,
PADI3,
PBX2,
MIR3972,
PADI4,
PLA2G10,
PADI6,
COL11A2,
RCC2-AS1,
RCC2,
HLA-S,
KIFC1,
DDX39B,
PKD1P3,
CEP20,
RPL15P20,
ABCC6P2,
PDXDC1,
C6orf136,
PCGF2,
DPPA2P2,
RPS6KA1,
INPP5D,
MLLT6,
VPS52,
HTATSF1P1,
ZNHIT3,
TSPY24P,
ZNF92P1Y,
VDAC1P6,
RBMY3AP,
RFTN1P1,
SERBP1P2,
TSPY12P,
DUX4L19,
TTTY12,
MIR1976,
RN7SL679P,
TADA2A,
RNU7-29P,
TTTY7B,
OFD1P3Y,
RBMY2HP,
TOMM22P1,
TTTY6,
ELOCP35,
SLC9B1P1,
LINC00265-3P,
USP12PY,
CSPG4P1Y,
USP9YP31,
TTTY23,
KDM5DP1,
TTTY7,
LINC00266-4P,
LINC00279,
RN7SL32P,
DUX4L17,
ATG16L1,
PRY,
SKIV2L,
TSPY18P,
PCMTD1P1,
TTTY3B,
